gene.ids,SRX003935,SRX003921,SRX003924,SRX003923,SRX003925,SRX003932,SRX003920,SRX003922,SRX001291,SRX001364,SRX001365,SRX001366,SRX001367,SRX001368,SRX003931,SRX003929,SRX003928,SRX003934,SRX003926,SRX003927,SRX003930,SRX003933
ENSG00000118971,1,5279,0,2,0,1025,1721,848,258,195,475,436,466,567,1734,1416,18,2038,528,667,76,2595
ENSG00000119138,334,395,1157,321,91,3896,1187,858,481,317,1273,1291,1131,1172,2026,1073,688,1048,585,133,3054,1011
ENSG00000119242,481,677,268,455,541,2481,1414,1187,470,476,1605,1280,1646,1768,1573,669,327,1122,628,103,828,3465
ENSG00000119396,189,142,159,134,161,169,249,63,67,40,144,142,137,166,134,75,88,123,87,72,85,213
ENSG00000119401,36,58,113,44,67,33,20,22,18,21,63,61,87,110,36,18,3,38,14,10,102,77
ENSG00000119408,189,69,259,39,116,54,22,59,2,1,16,15,25,20,24,6,72,76,5,21,4,61
ENSG00000119411,234,51,0,452,485,4,7,67,110,55,376,134,210,232,129,13,3,20,25,26,0,116
ENSG00000119421,1766,637,805,543,843,408,487,300,196,173,586,605,713,753,940,1333,391,488,284,252,635,1202
ENSG00000119431,98,107,118,175,137,104,34,90,17,29,88,112,104,94,117,65,145,115,20,42,42,121
ENSG00000119523,82,193,176,276,113,143,115,65,59,35,139,165,128,157,130,81,333,260,60,135,78,367
ENSG00000119537,100,206,138,52,41,385,361,155,64,50,159,151,136,176,391,134,265,250,137,143,143,250
ENSG00000119541,442,955,276,193,297,403,279,234,99,64,243,220,273,284,177,147,152,211,137,128,111,360
ENSG00000119559,112,79,143,45,113,78,33,44,18,22,74,78,120,82,100,21,22,121,14,30,12,135
ENSG00000119574,325,220,171,217,187,345,120,207,64,46,218,207,221,206,384,68,40,266,66,59,169,291
ENSG00000119596,1503,1004,1046,1312,1031,924,919,582,445,379,1199,1347,1594,1517,624,340,172,811,441,359,939,2132
ENSG00000119616,73,77,66,79,125,62,70,39,26,20,80,60,48,45,80,51,66,77,45,92,42,100
ENSG00000119632,2,758,536,72,932,677,421,222,188,96,464,421,599,522,908,256,39,1016,234,103,53,1039
